question,answer
"â€Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.",AoA Malik
AoA Malik,Mn suny Malik
Mn suny Malik,Gg
Gg,Walekum slaam
Walekum slaam,5k tu bhj Mary acount mn
5k tu bhj Mary acount mn,Ok ok sunny bhira
Ok ok sunny bhira,Ok bhejta hon
Ok bhejta hon,Shukriya bro
Shukriya bro,Men niazmand sunny bhira da
Ok a gy hain,Malik
Malik,Gg suny bhai
Gg suny bhai,6k tu snd Kro
6k tu snd Kro,Thek hai
Thek hai,Hn bhjo wait mn hon mn
Ok sunny bhai,ğŸ˜
ğŸ˜,Malik ik 6k tu snd Kro
Malik ik 6k tu snd Kro,Hn g send krta hon
Hn g send krta hon,Thank you
Malik abhi 10 bhj diya hai Baki bad mn daita,Ok ok bro
Sunny Bhai Sehri time lgdy wat luck chal py,Nhi nhi whi thy tu rat ko bhja tu error a raha tha
Nhi nhi whi thy tu rat ko bhja tu error a raha tha,Tu Isi liey ab bhjy
Tu Isi liey ab bhjy,Tum suneao kr li Sehri
Tum suneao kr li Sehri,Han g
Hahaha,ğŸ˜„
ğŸ˜„,Hn Malik do hall
Hn Malik do hall,Mako lgdy aj walk Di zrout nhi hogi
1706305259224,ğŸŒ¹Ø±ÙˆØ²Û’Ú©Û’Ø¯ÙˆØ±Ø§Ù† ÛÙ…Ø§Ø±Ø§Ø¬Ø³Ù…Ø§Ù†ÛŒ Ø±Ø¯Ø¹Ù…Ù„ Ú©ÛŒØ§ÛÙˆØªØ§ÛÛ’. Ù…Ø¹Ù„ÙˆÙ…Ø§ØªğŸŒ¹*
Malik ya chezy porni hain,acha
acha,Malik 10k snd kr do bank. Account mn
Malik 10k snd kr do bank. Account mn,26730107159315
26730107159315,Sanaullah
Sanaullah,Mezan bank
Mezan bank,Acha
Acha,G
G,Sunny bhira 10 ky charges lagen ky kafi saray
Sunny bhira 10 ky charges lagen ky kafi saray,Subah zara atm card active krwa lo
Subah zara atm card active krwa lo,Kitny lg rahy hain
Kitny lg rahy hain,Charges
Charges,30 40 rupees lagen gy
30 40 rupees lagen gy,Agar urgent hai to send kr deta hon sunny bhai
Agar urgent hai to send kr deta hon sunny bhai,Khair hai bhj do
Khair hai bhj do,Acha send krta hon
Acha send krta hon,Hm
Hm,is nmbr py
is nmbr py,?
?,Hn bank acount nmbr hai sanaullah nme hoga
Yahi hai?,Hn yahi hai
Ok sunny bhai,Ok Malik
Ok Malik,is transaction py charges nhi lagay sunny Bhai
is transaction py charges nhi lagay sunny Bhai,Bnk same hai nhi hoty
Bnk same hai nhi hoty,Han Sahi sahi
Han Sahi sahi,Woh phir jazz cash py lgty hain
Woh phir jazz cash py lgty hain,Malik
Malik,G boss
G boss,Jani 10k snd kr Di account mn Mary aty kam tu sobha ay gy tu use kro ga wrna return kr do ga
Jani 10k snd kr Di account mn Mary aty kam tu sobha ay gy tu use kro ga wrna return kr do ga,Chalo thek a sunny bhai
Chalo thek a sunny bhai,Meezan bank men?
Meezan bank men?,Hn
Hn,26730107159315
26730107159315,Ok a gy hain
Ok a gy hain,Ok boss
Hy Malik,Malik ya snd tu kri
Malik ya snd tu kri,Ok jnb
Yr Malik tum tu hazart ho,Kia sunny bhai
Kia sunny bhai,Yr tum sy some passy liy priviacy mn liy tum ny shafqat ko bata diya
Yr tum sy some passy liy priviacy mn liy tum ny shafqat ko bata diya,Na kr yara
PTA tu tha shafqat ka tumhy,Chl khair hai yara shami k Sath ewy kafi bhass ho gie
Chl khair hai yara shami k Sath ewy kafi bhass ho gie,Mujhe ap bata dety men ny smjha shafqat ko pata hai
Oho sorry yr,Chl koie nhi khair hai
Chl koie nhi khair hai,Shafqat pechen shetangya kryndy sunny bhira
Shafqat pechen shetangya kryndy sunny bhira,Chlo koie nhi
Chlo koie nhi,Next time khial kryson sunny bhai
Or suneao Malik,Bia fit sunny bhai
Bia fit sunny bhai,Aj walk ty nisy wanj sgye barish a
Aj walk ty nisy wanj sgye barish a,Chlo saih hai
Chlo saih hai,Aj lgdy roza kaina ha
Aj lgdy roza kaina ha,Roza te roz kni honda
Roza te roz kni honda,Idhr bhi bs abhi ruki hai
Idhr bhi bs abhi ruki hai,Sahi
Sahi,Rakh Malik rakh  rozy
Rakh Malik rakh  rozy,Ha yara sunny bhai
Ha yara sunny bhai,Sawren da program hai sai
Sawren da program hai sai,Chlo saih hai
Ok sunny bhai,Thank you lala
Thank you lala,Wel come Malik shb
Wel come Malik shb,Baqi 500 bach gya sunny Bhai
Baqi 500 bach gya sunny Bhai,Sir pta nhi tha mujhy wrna Sath bhj daita chlo Baki bhj do ga phr
Sir pta nhi tha mujhy wrna Sath bhj daita chlo Baki bhj do ga phr,Ok ok sunny bhai easy
Ok ok sunny bhai easy,Ok
Ok,Malik
Malik,G jnb
G jnb,Isi number pr 2100 tu bhjo ik
Isi number pr 2100 tu bhjo ik,Jazcash
Jazcash,Sunny bhai jo ap ne paisay bhejy hain
Urgent kaam aty hain to send kr deta hon,Tum snd kro phr mn abhi bhj daita hon mn ghr mn hon tu online kam aty hain bhar jaty hi snd kr daita hon
Tum snd kro phr mn abhi bhj daita hon mn ghr mn hon tu online kam aty hain bhar jaty hi snd kr daita hon,Acha acha okk
Acha acha okk,"Bank account men bhejon,"
"Bank account men bhejon,",Jazcash bhj dy
Jazcash bhj dy,03327551955
03327551955,Sanaullah
Sanaullah,Bhej diay ada
Bhej diay ada,Ok mn kouch hi dair mn bhjta
Ok mn kouch hi dair mn bhjta,Acount numbr snd kr do
Ok,58010107298666
Ok Malik bhj diy hain,Gg ok
Gg ok,Malik shb
Malik shb,Jnb
Jnb,Dy hall Malik roza rakhi pie ya kaina
Dy hall Malik roza rakhi pie ya kaina,Kna yara roza knsy rakhya aj
Thk Allah ka shukr hai tum suneao,Na yara 2ra din hai na pouch
Na yara 2ra din hai na pouch,Kbhi idhr kbhi kidhr
Kbhi idhr kbhi kidhr,Bs lgy piyo
Bs lgy piyo,Acha sahi sahi
Acha sahi sahi,Bya suna Malik
Ha yara roza lga wada hosi,Ha yara aj na poch
Ha yara aj na poch,Malik Di gr8
Malik Di gr8,Jnb the great
Jnb the great,Dio haal
Dio haal,Sunny Bhai 500 te bhej choren ha
Malik hali ty Kani yara,Mn sham da waisa bhar dakhda wala
Mn sham da waisa bhar dakhda wala,Acha acha easy thewo ada
Acha acha easy thewo ada,Malik shb
Tum do hall,Ju shafqat ny passy bhjy thy tumhy
Ju shafqat ny passy bhjy thy tumhy,Us mn 500 utha lo apna or Baki 500 mujhy snd kr do sobha  mn un ko bata dou ga
Us mn 500 utha lo apna or Baki 500 mujhy snd kr do sobha  mn un ko bata dou ga,"â€Voice call, â€Ended"
"â€Voice call, â€Ended",!
!,Sunny Bhai even na kr shami naraz thesy medy kny
Sunny Bhai even na kr shami naraz thesy medy kny,Yr mn ds daisa sobha nrz Allah mafi daiwy chori ty nhi
Khair hai 500 da nhi thida kouch,Hhh acha
Hhh acha,Ab bhj rahy ho ya nhi
Ab bhj rahy ho ya nhi,Ruko Zara net nhi hai
Ruko Zara net nhi hai,Sanaullah wly account men bhejna hai?
Sanaullah wly account men bhejna hai?,Jazcash kr Do
Jazcash kr Do,Bhej diay
Bhej diay,Ok jnb Thnk you
Ok jnb Thnk you,Or apny bhi utha laina
Or apny bhi utha laina,Mn Baki sobha. Un ko bata do ga
Mn Baki sobha. Un ko bata do ga,Chalo chalo thek hai
Chalo chalo thek hai,"â€Voice call, â€2 min"
"â€Voice call, â€2 min",Malik bhjy nhi
Ok,Malik aa
Malik aa,Ggg
Ggg,Ada 500 Bya bhji
Ada 500 Bya bhji,Na kr yara
Na kr yara,Ha
Ha,Wy ada bus kr game dii
Wy ada bus kr game dii,Draw lga py bhj dainda wala jb osin
Draw lga py bhj dainda wala jb osin,Pehle men shami kny poch ghina
Yar nall baithy,Krwa gall
Krwa gall,Acha
Acha,Acha bhej denda
Ada shami ahdy na bhejo,Asha yr tu apny bhj Mary a jeay mn bhj dainda tako
Asha yr tu apny bhj Mary a jeay mn bhj dainda tako,?
?,Acha
Acha,Sunny Bhai men kny hen pory sory
Haha,Bhejenda
Bhejenda,Agyn e
Agyn e,Hn Malik shami tumhy 500 bhj dy ha ok
Hn Malik shami tumhy 500 bhj dy ha ok,Samajh nhi ae
Samajh nhi ae,Ju abhi tum sy mngy Hain shami tumhy bhj dy ga
Ju abhi tum sy mngy Hain shami tumhy bhj dy ga,Acha
Acha,500 ju mn ny bola k tumhy do ga whi
500 ju mn ny bola k tumhy do ga whi,Sahi
Sahi,Jo ap ky pass pehle 500 tha woh odhr sy othana hai jo shami ne pehle bhejy thy paisy?
Jo ap ky pass pehle 500 tha woh odhr sy othana hai jo shami ne pehle bhejy thy paisy?,"â€Voice call, â€2 min"
"â€Voice call, â€2 min",Aj sardar roza rakhyes a
Aj sardar roza rakhyes a,Men akhye 10 rozy pory karon cha
Men akhye 10 rozy pory karon cha,Chlo sain mashallah
Chlo sain mashallah,Hlo
Hlo,"â€Voice call, â€No answer"
"â€Voice call, â€No answer",G khan
G khan,Sunny khan hunr hali rest kr shami nal hisab kitab thia py wala sara hisab kitab dobara krna posy
Sunny khan hunr hali rest kr shami nal hisab kitab thia py wala sara hisab kitab dobara krna posy,Malik a rozy da pouchda Hm ty hall hawal
Malik a rozy da pouchda Hm ty hall hawal,Haha acha acha
Haha acha acha,Rozy goda hunr aglay saal insha'Allah
Rozy goda hunr aglay saal insha'Allah,Saih
Kháº£ir Mubarak,Asnnn yad kro tu akhdi passy mngdin
Asnnn yad kro tu akhdi passy mngdin,Haha na yara enjhi gaal ni
Haha na yara enjhi gaal ni,This
ğŸ˜‚,Suny khan wysy hendy ich koi naraz thewar wali gaal kani
Na yara nrz Kon thida pa,Hao hao
Hao hao,Men smjhye sunny narz thi gy
Men smjhye sunny narz thi gy,Eid Mubarak wala e niwi diti
Eid Mubarak wala e niwi diti,How
How,Na na aisi báº¯t nhi
Na na aisi báº¯t nhi,Sunny khan
Sunny khan,Shami ne 500 send nhi kia tha shayad bhool gya ho osy
Ok,Bhai
Bhai,Dy haal
Dy haal,Kitha busy ayen
Kitha busy ayen,Thk
Thk,Ap suneao
Ap suneao,Mid thy whi diyyyy
Mid thy whi diyyyy,Aj fee howy
Aj fee howy,Acha Acha
Acha Acha,Tum suneao kb a rahy
Tum suneao kb a rahy,Hn sunny Bhai 11 ko aon ga
Hn sunny Bhai 11 ko aon ga,Men ny suna ap arahy
Men ny suna ap arahy,Saih hai
Saih hai,Tumhy kis ny bola
Tumhy kis ny bola,Bs pata chal gya
Bs pata chal gya,Asha
Asha,Mean source brdy hain
Mean source brdy hain,Haha
Haha,Malik an men vi
Malik an men vi,Ha ha
Ha ha,Maliken da khabar malik ku na pata hosi te bia keko pata hsi
Maliken da khabar malik ku na pata hosi te bia keko pata hsi,Saih saih
Saih saih,Jia ada
Jia ada,Chalo wala jampr milson agar tusan andy pio taan jampur
Chalo wala jampr milson agar tusan andy pio taan jampur,G zror Malik shb
G zror Malik shb,Dy haal Malik
Dy haal Malik,Jampur en ya pindi
Jampur en ya pindi,Thk Malik tum suneao
Thk Malik tum suneao,Mn yara jampur hon Malik
Mn yara jampur hon Malik,Acha Sahi
Acha Sahi,Hn mati ne btaya
Hn mati ne btaya,G
G,Tum suneao kaisy ja rahy paper
Tum suneao kaisy ja rahy paper,Han malik
Han malik,Achy ho rhy hain
Achy ho rhy hain,Mashallah
Mashallah,Malik
Malik,Kal sham ko chakar lagaon ga ap ky pass
Kal sham ko chakar lagaon ga ap ky pass,Ok sir well come
Ok sir well come,Malik
Malik,"â€Voice call, â€No answer"
"â€Voice call, â€No answer","â€Voice call, â€42 sec"
"â€Voice call, â€42 sec",Malik
Malik,Kabh tak rahen gy flat py?
Kabh tak rahen gy flat py?,Jani aj chly jeay gy
Jani aj chly jeay gy,Room hai pra basement mn hai wo bhi saih hai
Room hai pra basement mn hai wo bhi saih hai,Ana ha tu a jeao udhr rest kr lo skon sy koie nhi or dosra
Ana ha tu a jeao udhr rest kr lo skon sy koie nhi or dosra,Acha
Acha,Bhai the great
Bhai the great,Pics to bhejen
Pics to bhejen,Bn edit kr k bhj do ha
Bn edit kr k bhj do ha,Ga
Ga,Acha
Wah sain Malik,Mhrbani
Mhrbani,Czn a meda
Saih hai,â€This message was deleted.
â€This message was deleted.,â€This message was deleted.
â€This message was deleted.,Malik aaaa
Malik aaaa,Eid Mubarak
Eid Mubarak,Tun saday msg niwi sunrda
Tun saday msg niwi sunrda,Khair Mubarak tuwako wi Eid Mubarak
Khair Mubarak tuwako wi Eid Mubarak,Hn tu wla dlt cha kiti
Hn tu wla dlt cha kiti,Tun sunrye jo kna hawi jani
Tun sunrye jo kna hawi jani,Ty sun ghina ha kaini kithi bhar Hm hi duniya kly
Ty sun ghina ha kaini kithi bhar Hm hi duniya kly,Haha
Haha,Men akhye pata a medy msg tedy mbl di storage khtm keti aaa
Men akhye pata a medy msg tedy mbl di storage khtm keti aaa,Hin waja kny dlt ktm
Hin waja kny dlt ktm,Haha a wi saih
Haha a wi saih,Sham da chakar laison goda tusan kny
Sham da chakar laison goda tusan kny,ğŸ«¡
ğŸ«¡,Wel come
Wel come,Easy hoso
Easy hoso,Ya busy
Ya busy,Aj te baba Dangar rehri py hoso
Aj te baba Dangar rehri py hoso,Wy a dp te kon a
Wy a dp te kon a,Tdy shaklan a
Tdy shaklan a,Kzn hai Mara mamo ka baita hai
Kzn hai Mara mamo ka baita hai,Achaa acah
Hurn brda thi gy mashallah,MashaAllah
MashaAllah,iphone nal sham da click kryson
iphone nal sham da click kryson,Saday mbl ty koi kam da kani
Saday mbl ty koi kam da kani,Na Malik tu brand taida cell brand
Na Malik tu brand taida cell brand,Goda tun akhri aen
Goda tun akhri aen,Tedy baad andhara aaa
Tedy baad andhara aaa,Wy goda keden gaii
Wy goda keden gaii,Hn hn goda dy hall
Hn hn goda dy hall,Han goda fit ayen
Han goda fit ayen,"â€Missed voice call, â€Tap to call back"
"â€Missed voice call, â€Tap to call back","â€Voice call, â€44 sec"
"â€Voice call, â€44 sec",Malik kithan ho
Malik kithan ho,Abhi Utah hon nasta kr raha hon
Abhi Utah hon nasta kr raha hon,Tum kidhr ho
Tum kidhr ho,Men ada ghr an
Men ada ghr an,Men akhye malik horin othsen te chakar laison
Men akhye malik horin othsen te chakar laison,Chlo mn báº§tata hon
Chlo mn báº§tata hon,Ha pechen Hunr sham da chkr laisan
Ha pechen Hunr sham da chkr laisan,Hali te grmi py gai a
Hali te grmi py gai a,Ok
Dakh yr anda tu nivi,"â€Missed voice call, â€Tap to call back"
"â€Missed voice call, â€Tap to call back",Kya mtlb is ka Malik shb explain tu kr dy
Kya mtlb is ka Malik shb explain tu kr dy,Samajhny wly samajh jty hain malik
Samajhny wly samajh jty hain malik,Wysy Dunya jahanum sy kam hai kia?
Wysy Dunya jahanum sy kam hai kia?,Na yr tum simgha Do chlo knowledge increase ho jeay ha
Na yr tum simgha Do chlo knowledge increase ho jeay ha,Ga
Ga,Hmy tu nhi lgti Allah ki di howi zindgi nimat hai jb Allah ki mrzi hai tu rah rahy háº¡in wrna ik second hi nhi up ya down hota
Hmy tu nhi lgti Allah ki di howi zindgi nimat hai jb Allah ki mrzi hai tu rah rahy háº¡in wrna ik second hi nhi up ya down hota,Ok Malik shb
Ok Malik shb,Hn g beshak
Kia ham sab ye kuch kr rhy hain?,Chor du phr duniya itna hi dukh howa Wa agr or Baki sb kam kr lo
Chor du phr duniya itna hi dukh howa Wa agr or Baki sb kam kr lo,Bs Allah Pak ham sab ko hidayat dy
Bs Allah Pak ham sab ko hidayat dy,G zror
G zror,Hn Malik thari ya kaina
Hn Malik thari ya kaina,Keven wat
Keven wat,Allah ki rehmat hai pri Malik shb na umed na howa kr
Allah ki rehmat hai pri Malik shb na umed na howa kr,Nhi nhi malik
Nhi nhi malik,Allah pak maaf kry men kabh na umeed howa hon
Allah pak maaf kry men kabh na umeed howa hon,Allah pak ka lakh lakh shukr hai jis haal men bhi Allah pak rkhyâ¤ï¸
Allah pak ka lakh lakh shukr hai jis haal men bhi Allah pak rkhyâ¤ï¸,Asha tumhry pass online cash hai
Asha tumhry pass online cash hai,Hmy tumhy cash dy daity
Hmy tumhy cash dy daity,"â€Voice call, â€2 min"
Hahaha,Malik
Malik,Muharam ty men ghar wysan
Jumy sy phly a jeay gy mil jeay gy malik no tension,Easy thi ada easy thi
Easy thi ada easy thi,Meda vi pora pta kni shayad muharam dy baad wnja
Meda vi pora pta kni shayad muharam dy baad wnja,Ok
Ok,Bia dy haal naran kaghan di chas chai paii
Bia dy haal naran kaghan di chas chai paii,Hn chass ty hai
Hn chass ty hai,Hurn ayo room ty
Hurn ayo room ty,Sobha babu sir top ty waisooo
Sobha babu sir top ty waisooo,Acha
Acha,Hlo
Hlo,"â€Voice call, â€30 sec"
"â€Voice call, â€30 sec",6k bhj Mary sham tk a jaty hain krta hon return phr tumhy sary Hm a gy hain flat py hain
Hm done kr mn mn loan utha laita faida nhi sham ko a jeay gy tu Isi liey bola,Osi nmbr
Osi nmbr,Py
Py,?
?,Bhejny
Hn 3 din pory hogy hain na,Na bhj Malik thi gy kam
Na bhj Malik thi gy kam,Acha chalo ada
Acha chalo ada,Ezi ho k a jeao milty hain phr
Ezi ho k a jeao milty hain phr,Hi
Hi,Malik petrol satwawen cha wala heko odhaen chek wnjry dftr
Malik petrol satwawen cha wala heko odhaen chek wnjry dftr,Ok
Ok,Malik paisy ayen tedy?
Malik paisy ayen tedy?,Yr men bilkul zero an
Yr men bilkul zero an,Halli ay kaini agr zeyda zrout hin ty loan cha ty bhj dainda
Halli ay kaini agr zeyda zrout hin ty loan cha ty bhj dainda,Sham tk a waisin Mary
Ok,1ltr Dalwaya tha masjid or pindi commercial tk gy bs
1ltr Dalwaya tha masjid or pindi commercial tk gy bs,Acha okk
Acha okk,Malik suna yr paisay kni ay hali tak tedy
Hn Malik 10 hai loan cha ghidim mn ty Baki jb Mara khrcha Andy 7 bhj dainda,Hn 7 5. Sao malik
Hn 7 5. Sao malik,"â€Voice call, â€No answer"
"â€Voice call, â€No answer",Ok ok
Ok ok,500 ju cash liya tha ok
500 ju cash liya tha ok,Han g
Han g,Malik men subah aon ga phir bike leta jaon ga
Malik men subah aon ga phir bike leta jaon ga,Aj apny pass rakhna bike
Aj apny pass rakhna bike,Ok khri howi hai nichy
Ok khri howi hai nichy,Ok
Ok,Ok g
Ok g,â¤ï¸
â¤ï¸,Wel come Malik shb
Wel come Malik shb,Malik
Malik,Suna tun e jmpr gai kia
Suna tun e jmpr gai kia,Hn Malik
Hn Malik,Acha
Acha,Chabi shafqi ku diti hwwi
Chabi shafqi ku diti hwwi,Hn hai pri us k pass
Hn hai pri us k pass,Malik 15 tak wala Pasay bhej chori lazmi
Malik 15 tak wala Pasay bhej chori lazmi,O 10 hzr teko dsya na ham bhejna ha kithain o men bhej dtm
O 10 hzr teko dsya na ham bhejna ha kithain o men bhej dtm,Ok
Ok,Malik
Malik,Suna
Suna,Paisay bhejye newi
Paisay bhejye newi,Malik Halli kaini ay shami dy o Sudi whichoo bhj ditin acount ich time lgdy
Malik Halli kaini ay shami dy o Sudi whichoo bhj ditin acount ich time lgdy,Jb hi a jaty hain bhj daita hon yr ko
Jb hi a jaty hain bhj daita hon yr ko,Thek thek hai ada
Sunny khan bhejye niwi yr 17 thi gai a medy apny Kam anden,Men bilkul hin waqt zero ty ann
Men bilkul hin waqt zero ty ann,Men kani extra kni honda ada
Ada signal kaini passy ay kaini,Hmm
Hmm,Malik
Malik,Aj 19 thi gai a yara
Sunny Khan?,Yr jwb ty dy na ty men kithao odharay chawan paisy
Yr jwb ty dy na ty men kithao odharay chawan paisy,Ada passy kaini ay shami dy
Ada passy kaini ay shami dy,Mn kitho Baki cha ty tako bhj dainda
Mn kitho Baki cha ty tako bhj dainda,Maidy shami daiwrny hondy ay kaini
Maidy shami daiwrny hondy ay kaini,Ok
Ok,Acha chalo 2 jahray bia wait kr ghinda ada
Ada kraida baitha try a wnjn phly taido bhjdooo,Chalo thk
Chalo thk,Sunny khan parso sham da medi tiari a
Sunny khan parso sham da medi tiari a,Kl tk lzmi krin
Kl tk lzmi krin,Ok
Ok,Malik passy a gain
Malik passy a gain,Sobha bhj daisa mn kly cash hai sobha Ã©p kra ty bhj choresa
Sobha bhj daisa mn kly cash hai sobha Ã©p kra ty bhj choresa,Thek thek a bhai
Thek thek a bhai,10 kr chorin mlik
Malik dy haal,Thk Ada tu suna
Thk Ada tu suna,Yr hek ticket ty purchase kr baloch di
Yr hek ticket ty purchase kr baloch di,Wala paisy send krynda teko
Wala paisy send krynda teko,Ya shami ku akh malik
Ya shami ku akh malik,Shami nall rabta kr
Shami nall rabta kr,Shami offline a
Shami offline a,Na msg seen kts na call attend
Na msg seen kts na call attend,Chlo mn kraida rabta thidy ty daisnda tako
Chlo mn kraida rabta thidy ty daisnda tako,Ha lazmi
Ha lazmi,Wala meko jlid dasin malik
Wala meko jlid dasin malik,Baluch ty wnj piya
Baluch ty wnj piya,Hali dftr
Hali dftr,Garmi ich wal men akhye kon wnjy faizabaf
Garmi ich wal men akhye kon wnjy faizabaf,Online 30 mint tk rakhty hain
Online 30 mint tk rakhty hain,Na yr
Na yr,Pichli dafa hafta pehle li
Pichli dafa hafta pehle li,Chlo shami agr mari call attend kraidy ty daisda tako
Chlo shami agr mari call attend kraidy ty daisda tako,Ok ke
Ok ke,Kr
Kr,Malik
Malik,Dy haal
Dy haal,Kitha easy busy oo
Kitha easy busy oo,Thk tum suneao
Thk tum suneao,Ghr hon
Ghr hon,Achaa
Achaa,Thek
Thek,Kabh wapsi hai
Kabh wapsi hai,Hafty waly din
Hafty waly din,Same
Same,Hm hmri 5 ko metting hai
Hm hmri 5 ko metting hai,Acha
Acha,Or internship kry gy agr ashi lgi tu
Or internship kry gy agr ashi lgi tu,Sai
Sai,Grmi da dy haal
Grmi da dy haal,Grmi zour hai
Grmi zour hai,Isb ty roz barish thyi khri hai
Isb ty roz barish thyi khri hai,Even gaal a goda
Even gaal a goda,itha chalo ac ty pion
itha chalo ac ty pion,Oden ty heater wala room a
Oden ty heater wala room a,ğŸ˜‚
ğŸ˜‚,Ha a wi hai
Ha a wi hai,Hn ada
Hn ada,Chkr lawhy alhamd town
Chkr lawhy alhamd town,Chlo laisooo ty daisasoooo
Chlo laisooo ty daisasoooo,Hn
Hn,Mati ty
Mati ty,Jmpr jehry Andy bhul vendy
Jmpr jehry Andy bhul vendy,O ty rabta tak ni cha krynda
O ty rabta tak ni cha krynda,Thaka Andy room waly kly k chlo hali ty free Han
Thaka Andy room waly kly k chlo hali ty free Han,Haha hw
Haha hw,Ha
Ha,Even gaal a
Even gaal a,Thk hai phr
Thk hai phr,Ok ada
Ewy hosi,Hello
Hello,Sunny khaan
Sunny khaan,Suna Kia program aa
Suna Kia program aa,Phone kiya hai bolty confirm nhi hai abhi Baki dakho
Phone kiya hai bolty confirm nhi hai abhi Baki dakho,Acha
Acha,Wal yara kal di tiari banao
Wal yara kal di tiari banao,Dakhdo goda kya krny
Dakhdo goda kya krny,Wla vi rabta kr ghiny
Wla vi rabta kr ghiny,Na ty nikhty julson
